transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,year_month,month,day_of_week,is_weekend,amount_raw,currency,year,amount_idr,category_type,is_shared,num_people,payer,split_amount,participants
T0565,U052,2021-01-01,income,freelance,76296.0,tunai,bandung,project website,2021-01,1.0,Friday,False,76296,INR,2021,147251.28,income,0,1,U052,147251.28,['U052']
T2465,U098,2021-01-01,expense,tempat_tinggal,12502.0,tunai,bandung,iuran kebersihan,2021-01,1.0,Friday,False,12502,INR,2021,24128.86,essential,0,1,U098,24128.86,['U098']
T2971,U138,2021-01-01,expense,tempat_tinggal,1575.0,bank_transfer,palembang,bayar sewa rumah,2021-01,1.0,Friday,False,₹1575,INR,2021,3039.75,essential,0,1,U138,3039.75,['U138']
T12231,U123,2021-01-01,expense,makanan,3346.0,bank_transfer,jakarta,makan di restoran,2021-01,1.0,Friday,False,3346,INR,2021,6457.78,essential,1,5,U123,1291.556,"['U137', 'U099', 'U066', 'U105', 'U058']"
T1657,U023,2021-01-02,expense,pendidikan,2601.0,kartu,palembang,beli alat tulis,2021-01,1.0,Saturday,True,2601,INR,2021,5019.93,other,0,1,U023,5019.93,['U023']
T5383,U027,2021-01-02,expense,makanan,3805.0,tunai,bandung,pesan gofood,2021-01,1.0,Saturday,True,3805,INR,2021,7343.65,essential,0,1,U027,7343.65,['U027']
T10077,U088,2021-01-02,income,lainnya,33639.0,tunai,unknown,keperluan pribadi,2021-01,1.0,Saturday,True,33639,INR,2021,64923.27,income,0,1,U088,64923.27,['U088']
T6762,U071,2021-01-02,expense,tempat_tinggal,8065.0,tunai,jakarta,bayar apartemen,2021-01,1.0,Saturday,True,8065,INR,2021,15565.45,essential,0,1,U071,15565.45,['U071']
T9587,U067,2021-01-02,expense,hiburan,8117.0,kartu,bandung,beli tiket konser,2021-01,1.0,Saturday,True,8117,INR,2021,15665.81,non-essential,0,1,U067,15665.81,['U067']
T12972,U077,2021-01-02,expense,pendidikan,5725.0,qris,palembang,bayar kursus,2021-01,1.0,Saturday,True,5725,INR,2021,11049.25,other,0,1,U077,11049.25,['U077']
T12433,U064,2021-01-02,expense,tagihan,677.0,qris,unknown,bayar BPJS,2021-01,1.0,Saturday,True,677,INR,2021,1306.61,essential,0,1,U064,1306.61,['U064']
T11125,U135,2021-01-02,expense,tempat_tinggal,49188.0,tunai,unknown,bayar apartemen,2021-01,1.0,Saturday,True,49188,INR,2021,94932.84,essential,0,1,U135,94932.84,['U135']
T5754,U059,2021-01-03,expense,hiburan,316.0,bank_transfer,denpasar,nonton bioskop,2021-01,1.0,Sunday,True,316,INR,2021,609.88,non-essential,0,1,U059,609.88,['U059']
T1536,U023,2021-01-03,expense,makanan,4398.0,tunai,balikpapan,beli air minum,2021-01,1.0,Sunday,True,4398,INR,2021,8488.14,essential,1,2,U023,4244.07,"['U134', 'U101']"
T9787,U058,2021-01-03,expense,lainnya,2876.0,kartu,balikpapan,transaksi harian,2021-01,1.0,Sunday,True,2876,INR,2021,5550.68,other,0,1,U058,5550.68,['U058']
T7193,U034,2021-01-04,income,freelance,54312.0,kartu,palembang,bayaran freelance,2021-01,1.0,Monday,False,54312,INR,2021,104822.16,income,0,1,U034,104822.16,['U034']
T7118,U045,2021-01-04,income,lainnya,15033.0,tunai,medan,pengeluaran lainnya,2021-01,1.0,Monday,False,$15033,USD,2021,2149719.0,income,0,1,U045,2149719.0,['U045']
T7505,U110,2021-01-04,income,lainnya,64814.0,qris,semarang,keperluan pribadi,2021-01,1.0,Monday,False,64814,INR,2021,125091.02,income,0,1,U110,125091.02,['U110']
T2490,U146,2021-01-04,expense,transportasi,6659.0,qris,unknown,bayar parkir,2021-01,1.0,Monday,False,6659,INR,2021,12851.87,other,1,2,U146,6425.935,"['U148', 'U050']"
T12145,U111,2021-01-05,expense,kesehatan,1824.0,qris,semarang,bayar rumah sakit,2021-01,1.0,Tuesday,False,1824,INR,2021,3520.32,essential,0,1,U111,3520.32,['U111']
T2024,U131,2021-01-05,expense,tabungan,9248.0,qris,makassar,simpan dana darurat,2021-01,1.0,Tuesday,False,₹9248,INR,2021,17848.64,other,0,1,U131,17848.64,['U131']
T7410,U072,2021-01-05,expense,tempat_tinggal,9560.0,tunai,palembang,iuran kebersihan,2021-01,1.0,Tuesday,False,9560,INR,2021,18450.8,essential,0,1,U072,18450.8,['U072']
T12636,U028,2021-01-05,expense,transportasi,4868.0,tunai,yogyakarta,bayar parkir,2021-01,1.0,Tuesday,False,4868,INR,2021,9395.24,other,1,4,U028,2348.81,"['U103', 'U148', 'U009', 'U033']"
T6925,U077,2021-01-06,income,bonus,49741.0,kartu,makassar,transaksi,2021-01,1.0,Wednesday,False,49741,INR,2021,96000.13,income,0,1,U077,96000.13,['U077']
T11446,U038,2021-01-06,expense,makanan,9276.0,bank_transfer,semarang,ngopi di kafe,2021-01,1.0,Wednesday,False,9276,INR,2021,17902.68,essential,0,1,U038,17902.68,['U038']
T1227,U114,2021-01-06,expense,makanan,758.0,tunai,bandung,pesan gofood,2021-01,1.0,Wednesday,False,758,INR,2021,1462.94,essential,0,1,U114,1462.94,['U114']
T12842,U005,2021-01-06,expense,tempat_tinggal,7762.0,tunai,bandung,bayar kos,2021-01,1.0,Wednesday,False,7762,INR,2021,14980.66,essential,0,1,U005,14980.66,['U005']
T6078,U047,2021-01-06,income,investasi,32323.0,qris,balikpapan,keuntungan investasi,2021-01,1.0,Wednesday,False,32323,INR,2021,62383.39,income,0,1,U047,62383.39,['U047']
T12523,U106,2021-01-06,expense,makanan,2938.0,ewallet,medan,makan malam,2021-01,1.0,Wednesday,False,2938,INR,2021,5670.34,essential,0,1,U106,5670.34,['U106']
T7322,U087,2021-01-06,expense,tempat_tinggal,4192.0,qris,surabaya,bayar kontrakan,2021-01,1.0,Wednesday,False,4192,INR,2021,8090.56,essential,0,1,U087,8090.56,['U087']
T0313,U018,2021-01-07,expense,hiburan,5980.0,tunai,yogyakarta,beli tiket konser,2021-01,1.0,Thursday,False,5980,INR,2021,11541.4,non-essential,1,5,U018,2308.2799999999997,"['U063', 'U082', 'U048', 'U113', 'U045']"
T6202,U131,2021-01-07,expense,tempat_tinggal,4960.0,qris,palembang,iuran kebersihan,2021-01,1.0,Thursday,False,4960,INR,2021,9572.8,essential,0,1,U131,9572.8,['U131']
T3378,U001,2021-01-07,expense,makanan,4178.0,kartu,makassar,beli air minum,2021-01,1.0,Thursday,False,4178,INR,2021,8063.54,essential,0,1,U001,8063.54,['U001']
T9820,U078,2021-01-07,expense,transportasi,1528.0,qris,jakarta,bayar parkir,2021-01,1.0,Thursday,False,1528,INR,2021,2949.04,other,0,1,U078,2949.04,['U078']
T10950,U018,2021-01-07,expense,makanan,3054.0,tunai,medan,pesan grabfood,2021-01,1.0,Thursday,False,3054,INR,2021,5894.22,essential,1,4,U018,1473.555,"['U023', 'U122', 'U085', 'U104']"
T10388,U124,2021-01-08,expense,tagihan,1663.0,ewallet,makassar,bayar BPJS,2021-01,1.0,Friday,False,1663,INR,2021,3209.59,essential,0,1,U124,3209.59,['U124']
T3362,U026,2021-01-08,expense,kesehatan,6970.0,tunai,jakarta,bayar rumah sakit,2021-01,1.0,Friday,False,6970,INR,2021,13452.1,essential,0,1,U026,13452.1,['U026']
T8936,U112,2021-01-08,expense,tempat_tinggal,9707.0,bank_transfer,denpasar,bayar sewa rumah,2021-01,1.0,Friday,False,$9707,USD,2021,1388101.0,essential,0,1,U112,1388101.0,['U112']
T11293,U017,2021-01-08,expense,hiburan,5052.0,bank_transfer,denpasar,main game,2021-01,1.0,Friday,False,5052,INR,2021,9750.36,non-essential,1,4,U017,2437.59,"['U102', 'U132', 'U129', 'U015']"
T0499,U070,2021-01-08,expense,makanan,8702.0,qris,jakarta,beli air minum,2021-01,1.0,Friday,False,8702,INR,2021,16794.86,essential,1,5,U070,3358.972,"['U058', 'U042', 'U116', 'U074', 'U001']"
T12928,U012,2021-01-09,expense,makanan,5056.0,tunai,palembang,sarapan,2021-01,1.0,Saturday,True,5056,INR,2021,9758.08,essential,1,5,U012,1951.616,"['U053', 'U127', 'U107', 'U047', 'U012']"
T7016,U145,2021-01-09,expense,tagihan,7391.0,tunai,yogyakarta,bayar listrik,2021-01,1.0,Saturday,True,7391,INR,2021,14264.63,essential,0,1,U145,14264.63,['U145']
T4343,U059,2021-01-09,expense,transportasi,1437.0,bank_transfer,denpasar,bayar tol,2021-01,1.0,Saturday,True,1437,INR,2021,2773.41,other,0,1,U059,2773.41,['U059']
T8869,U102,2021-01-09,income,lainnya,74830.0,kartu,palembang,transaksi harian,2021-01,1.0,Saturday,True,₹74830,INR,2021,144421.9,income,0,1,U102,144421.9,['U102']
T13646,U076,2021-01-10,income,lainnya,50568.0,ewallet,semarang,transaksi harian,2021-01,1.0,Sunday,True,₹50568,INR,2021,97596.24,income,0,1,U076,97596.24,['U076']
T0446,U114,2021-01-10,expense,tempat_tinggal,4008.0,ewallet,unknown,bayar apartemen,2021-01,1.0,Sunday,True,₹4008,INR,2021,7735.44,essential,0,1,U114,7735.44,['U114']
T4337,U126,2021-01-10,expense,hiburan,1131.0,bank_transfer,medan,streaming musik,2021-01,1.0,Sunday,True,1131,INR,2021,2182.83,non-essential,0,1,U126,2182.83,['U126']
T5640,U035,2021-01-10,expense,tempat_tinggal,7583.0,qris,denpasar,bayar sewa rumah,2021-01,1.0,Sunday,True,₹7583,INR,2021,14635.19,essential,0,1,U035,14635.19,['U035']
T5814,U066,2021-01-10,expense,tagihan,6392.0,qris,medan,bayar pulsa,2021-01,1.0,Sunday,True,6392,INR,2021,12336.56,essential,0,1,U066,12336.56,['U066']
T1222,U121,2021-01-11,expense,tagihan,8855.0,qris,surabaya,bayar pulsa,2021-01,1.0,Monday,False,₹8855,INR,2021,17090.15,essential,0,1,U121,17090.15,['U121']
