transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,year_month,month,day_of_week,is_weekend,amount_raw,currency,year,amount_idr
T0565,U052,2021-01-01,income,freelance,76296.0,tunai,bandung,jasa konsultasi,2021-01,1.0,Friday,False,76296,INR,2021,147251.28
T2465,U098,2021-01-01,expense,tempat_tinggal,12502.0,tunai,bandung,bayar kontrakan,2021-01,1.0,Friday,False,12502,INR,2021,24128.86
T2971,U138,2021-01-01,expense,tempat_tinggal,1575.0,bank_transfer,palembang,bayar sewa rumah,2021-01,1.0,Friday,False,₹1575,INR,2021,3039.75
T12231,U123,2021-01-01,expense,makanan,3346.0,bank_transfer,jakarta,pesan grabfood,2021-01,1.0,Friday,False,3346,INR,2021,6457.78
T1657,U023,2021-01-02,expense,pendidikan,2601.0,kartu,palembang,beli alat tulis,2021-01,1.0,Saturday,True,2601,INR,2021,5019.93
T5383,U027,2021-01-02,expense,makanan,3805.0,tunai,bandung,pesan shopeefood,2021-01,1.0,Saturday,True,3805,INR,2021,7343.65
T10077,U088,2021-01-02,income,lainnya,33639.0,tunai,unknown,keperluan pribadi,2021-01,1.0,Saturday,True,33639,INR,2021,64923.27
T6762,U071,2021-01-02,expense,tempat_tinggal,8065.0,tunai,jakarta,bayar kos,2021-01,1.0,Saturday,True,8065,INR,2021,15565.45
T9587,U067,2021-01-02,expense,hiburan,8117.0,kartu,bandung,main game,2021-01,1.0,Saturday,True,8117,INR,2021,15665.81
T12972,U077,2021-01-02,expense,pendidikan,5725.0,qris,palembang,bayar kursus,2021-01,1.0,Saturday,True,5725,INR,2021,11049.25
T12433,U064,2021-01-02,expense,tagihan,677.0,qris,unknown,bayar air,2021-01,1.0,Saturday,True,677,INR,2021,1306.61
T11125,U135,2021-01-02,expense,tempat_tinggal,49188.0,tunai,unknown,bayar kontrakan,2021-01,1.0,Saturday,True,49188,INR,2021,94932.84
T5754,U059,2021-01-03,expense,hiburan,316.0,bank_transfer,denpasar,streaming musik,2021-01,1.0,Sunday,True,316,INR,2021,609.88
T1536,U023,2021-01-03,expense,makanan,4398.0,tunai,balikpapan,jajan minimarket,2021-01,1.0,Sunday,True,4398,INR,2021,8488.14
T9787,U058,2021-01-03,expense,lainnya,2876.0,kartu,balikpapan,keperluan pribadi,2021-01,1.0,Sunday,True,2876,INR,2021,5550.68
T7193,U034,2021-01-04,income,freelance,54312.0,kartu,palembang,bayaran freelance,2021-01,1.0,Monday,False,54312,INR,2021,104822.16
T7118,U045,2021-01-04,income,lainnya,15033.0,tunai,medan,pengeluaran lainnya,2021-01,1.0,Monday,False,$15033,USD,2021,2149719.0
T7505,U110,2021-01-04,income,lainnya,64814.0,qris,semarang,transaksi harian,2021-01,1.0,Monday,False,64814,INR,2021,125091.02
T2490,U146,2021-01-04,expense,transportasi,6659.0,qris,unknown,bayar tol,2021-01,1.0,Monday,False,6659,INR,2021,12851.87
T12145,U111,2021-01-05,expense,kesehatan,1824.0,qris,semarang,kontrol dokter,2021-01,1.0,Tuesday,False,1824,INR,2021,3520.32
T2024,U131,2021-01-05,expense,tabungan,9248.0,qris,makassar,menabung bulanan,2021-01,1.0,Tuesday,False,₹9248,INR,2021,17848.64
T7410,U072,2021-01-05,expense,tempat_tinggal,9560.0,tunai,palembang,bayar kontrakan,2021-01,1.0,Tuesday,False,9560,INR,2021,18450.8
T12636,U028,2021-01-05,expense,transportasi,4868.0,tunai,yogyakarta,naik grab,2021-01,1.0,Tuesday,False,4868,INR,2021,9395.24
T6925,U077,2021-01-06,income,bonus,49741.0,kartu,makassar,transaksi,2021-01,1.0,Wednesday,False,49741,INR,2021,96000.13
T11446,U038,2021-01-06,expense,makanan,9276.0,bank_transfer,semarang,sarapan,2021-01,1.0,Wednesday,False,9276,INR,2021,17902.68
T1227,U114,2021-01-06,expense,makanan,758.0,tunai,bandung,makan di restoran,2021-01,1.0,Wednesday,False,758,INR,2021,1462.94
T12842,U005,2021-01-06,expense,tempat_tinggal,7762.0,tunai,bandung,bayar kontrakan,2021-01,1.0,Wednesday,False,7762,INR,2021,14980.66
T6078,U047,2021-01-06,income,investasi,32323.0,qris,balikpapan,keuntungan investasi,2021-01,1.0,Wednesday,False,32323,INR,2021,62383.39
T12523,U106,2021-01-06,expense,makanan,2938.0,ewallet,medan,jajan minimarket,2021-01,1.0,Wednesday,False,2938,INR,2021,5670.34
T7322,U087,2021-01-06,expense,tempat_tinggal,4192.0,qris,surabaya,bayar kos,2021-01,1.0,Wednesday,False,4192,INR,2021,8090.56
T0313,U018,2021-01-07,expense,hiburan,5980.0,tunai,yogyakarta,main game,2021-01,1.0,Thursday,False,5980,INR,2021,11541.4
T6202,U131,2021-01-07,expense,tempat_tinggal,4960.0,qris,palembang,bayar kontrakan,2021-01,1.0,Thursday,False,4960,INR,2021,9572.8
T3378,U001,2021-01-07,expense,makanan,4178.0,kartu,makassar,beli air minum,2021-01,1.0,Thursday,False,4178,INR,2021,8063.54
T9820,U078,2021-01-07,expense,transportasi,1528.0,qris,jakarta,naik grab,2021-01,1.0,Thursday,False,1528,INR,2021,2949.04
T10950,U018,2021-01-07,expense,makanan,3054.0,tunai,medan,makan di restoran,2021-01,1.0,Thursday,False,3054,INR,2021,5894.22
T10388,U124,2021-01-08,expense,tagihan,1663.0,ewallet,makassar,bayar BPJS,2021-01,1.0,Friday,False,1663,INR,2021,3209.59
T3362,U026,2021-01-08,expense,kesehatan,6970.0,tunai,jakarta,kontrol dokter,2021-01,1.0,Friday,False,6970,INR,2021,13452.1
